['2008年第29届北京奥运会开幕式 Beijing 2008 Olympics Games Opening Ceremony', '8.8', '23826', '2008-08-08(中国大陆)']
['从毛泽东到莫扎特 From Mao to Mozart: Isaac Stern in China', '8.8', '4143', '1981-02-23']
['时代精神 Zeitgeist', '8.8', '3830', '2007-06-01']
['哈勃望远镜 Hubble 3D', '8.8', '7888', '2010-03-19(加拿大)']
['寻味顺德', '8.8', '3346', '2016-04-30(中国大陆)']
["92班 The Class of '92", '8.8', '3538', '2013-11-29(英国)']
['浮生一日 Life in a Day', '8.8', '48840', '2011-07-24(美国)']
['16天', '8.8', '3842', '2005-12-12']
['医疗内幕 Sicko', '8.8', '7031', '2007-06-22']
['尘与雪 Ashes and Snow', '8.8', '7802', '2005-03-05']
["小小摄影师的异想世界 Born Into Brothels: Calcutta's Red Light Kids", '8.8', '6150', '2005-03-11(美国)']
['寿司之神 Jiro Dreams of Sushi', '8.8', '75606', '2011-11-08(美国电影学院影展)']
['茶，一片树叶的故事', '8.8', '5499', '2013-11-18(中国大陆)']
["我的建筑师：寻父之旅 My Architect: A Son's Journey", '8.8', '3030', '2004-02-17']
['在世界尽头相遇 Encounters at the End of the World', '8.8', '6729', '2007-09-01']
['幼儿园', '8.7', '24242', '2004']
['大国崛起', '8.7', '15794', '2006-11-13']
['愚昧年代 The Age of Stupid', '8.7', '6844', '2009-03-20']
['传奇字体 Helvetica', '8.7', '3104', '2007-09-12']
['难以忽视的真相 An Inconvenient Truth', '8.7', '22114', '2006-01-24(圣丹斯电影节)']
['冰峰168小时 Touching the Void', '8.7', '5164', '2003-12-12']
['时间的风景 TimeScapes', '8.7', '11672', '2012']
['梦与狂想的王国 夢と狂気の王国', '8.7', '4842', '2013-11-16(日本)']
['监守自盗 Inside Job', '8.7', '25224', '2010-10-08(美国)']
['白色星球 La planète blanche', '8.7', '3377', '2006-03-22']
['大明宫', '8.7', '8250', '2009-09-10(中国大陆)']
['飞翔的艺术 The Art of Flight', '8.7', '3466', '2011-09-08(美国)']
