['çť\x9dć\x9c\x9bä¸ťĺŚ\x87 çŹŹä¸\x83ĺ\xadŁ Desperate Housewives Season 7', '8.8', '16322', '2010-09-27(çž\x8eĺ\x9b˝)']
['永远的三丁目的夕阳 ALWAYS 三丁目の夕日', '8.8', '26568', '2005-11-05(日本)']
['金色池塘 On Golden Pond', '8.8', '15150', '1982-01-22(美国)']
['鲁冰花 魯冰花', '8.8', '8973', '1989-08-26(台湾)']
['生活大爆炸 第九季 The Big Bang Theory Season 9', '8.8', '22783', '2015-09-21(美国)']
['寻 第二季 Looking Season 2', '8.8', '5869', '2015-01-11(美国)']
['入殓师 おくりびと', '8.8', '307282', '2008-09-13(日本)']
['浮生一日 Life in a Day', '8.8', '48024', '2011-07-24(美国)']
['悲情城市', '8.8', '35440', '1989-09-04(威尼斯电影节)']
['绝望主妇 第六季 Desperate Housewives Season 6', '8.8', '18619', '2009-09-27(美国)']
['独立时代 獨立時代', '8.8', '14180', '1994-09-12']
['刺猬的优雅 Le hérisson', '8.8', '54695', '2009-07-03(法国)']
['相助 The Help', '8.8', '51911', '2011-08-10(美国)']
['喜宴', '8.8', '126314', '1993-02(柏林电影节)']
['城南旧事', '8.8', '25949', '1983']
['办公室的故事 Служебный Роман', '8.8', '11994', '1977-02-03(苏联)']
['洗澡堂老板家的男人们 목욕탕집 남자들', '8.8', '7762', '1995-11-18(韩国)']
['回归 Возвращение', '8.8', '11884', '2003-06-25']
['绝望主妇 第三季 Desperate Housewives Season 3', '8.8', '20404', '2006-09-24(美国)']
['与玛格丽特的午后 La tête en friche', '8.8', '17716', '2010-06-02(法国)']
['家族的形式 家族ノカタチ', '8.7', '31992', '2016-01-17(日本)']
['绝望主妇 第四季 Desperate Housewives Season 4', '8.7', '19272', '2007-09-30(美国)']
['爱在午夜降临前 Before Midnight', '8.7', '103531', '2013-06-14(美国)']
['晚春 晩春', '8.7', '8856', '1949-09-13(日本)']
['横道世之介', '8.7', '50245', '2013-02-23(日本)']
['绝望主妇 第二季 Desperate Housewives Season 2', '8.7', '22879', '2005-09-25(美国)']
["天使爱美丽 Le fabuleux destin d'Amélie Poulain", '8.7', '464832', '2001-04-25(法国)']
['我的邻居山田君 ホーホケキョとなりの山田くん', '8.7', '35083', '1999-07-17(日本)']
['秋刀鱼之味 秋刀魚の味', '8.7', '17676', '1962-11-18(日本)']
['李献计历险记', '8.7', '86066', '2009-12-05']
['邮差 Il postino', '8.7', '10653', '1994-09-01']
['成年女性的动画时间 大人女子のアニメタイム', '8.7', '5826', '2013-03-10(日本)']
['天堂的颜色 رنگ از بهشت', '8.7', '8479', '1999-02-08(伊朗)']
['东京家族 東京家族', '8.7', '22921', '2013-01-19(日本)']
['一次别离 جدایی نادر از سیمین', '8.7', '123010', '2012-11-13(中国大陆)']
['黄昏的清兵卫 たそがれ清兵衛', '8.7', '15191', '2002-11-02(日本)']
["魔术师 L'illusionniste", '8.7', '47583', '2010-06-16(法国)']
['欢迎加入NHK N・H・Kにようこそ!', '8.7', '5058', '2006-07-09(日本)']
['请你原谅我', '8.7', '9588', '2011-08-27(中国大陆)']
['呼喊与细语 Viskningar och rop', '8.7', '7745', '1972-12-21']
['四百击 Les quatre cents coups', '8.7', '43181', '1959-11-16']
['绝望主妇 第一季 Desperate Housewives Season 1', '8.7', '52608', '2004-10-03(美国)']
['äźŚć\x95Śç\x94\x9fć´ť Fleabag', '8.7', '33845', '2016-07-21(č\x8bąĺ\x9b˝)']
['时光钟摆 振り子', '8.7', '7350', '2012-03-20']
['斯图尔特：倒带人生 Stuart: A Life Backwards', '8.7', '22687', '2007-09-23(英国)']
['恐怖分子 恐怖份子', '8.7', '12434', '1986-12-19(台湾)']
['奇迹 奇跡', '8.7', '19561', '2011-06-11(日本)']
['永远的三丁目的夕阳2 ALWAYS 続・三丁目の夕日', '8.7', '12191', '2007-11-03(日本)']
['变脸', '8.7', '13882', '1996-09']
['铁拳男人 Cinderella Man', '8.7', '26802', '2005-06-03(美国)']
['宽松世代又如何 ゆとりですがなにか', '8.6', '18922', '2016-04-17(日本)']
['燕尾蝶 スワロウテイル', '8.6', '102761', '1996-09-14(日本)']
['我们俩', '8.6', '68713', '2005-10(东京电影节)']
['信号 Signs', '8.6', '30394', '2008-03-10(澳大利亚)']
['我们天上见', '8.6', '44801', '2010-04-02(中国大陆)']
['幸福终点站 The Terminal', '8.6', '214453', '2005-01-14(中国大陆)']
['东京塔 東京タワー～オカンとボクと、時々、オトン～', '8.6', '22192', '2007-04-14(日本)']
['广告狂人 第一季 Mad Men Season 1', '8.6', '25000', '2007-07-27']
['荒野生存 Into the Wild', '8.6', '118922', '2007-09-21(美国)']
['昼颜：工作日下午3点的恋人们 昼顔～平日午後3時の恋人たち～', '8.6', '78532', '2014-07-17(日本)']
['生活艰难但是快乐 ピカ☆ンチ LIFE IS HARDだけどHAPPY', '8.6', '5462', '2002-10-18(日本)']
['面子 Saving Face', '8.6', '26643', '2004-09-12(多伦多电影节)']
['樱花盛开 Kirschblüten - Hanami', '8.6', '5631', '2008-03-06']
['食品公司 Food, Inc.', '8.6', '25989', '2009-06-12']
['ĺĽłäşş Woman', '8.6', '5072', '2013-07-03(ć\x97Ľć\x9cŹ)']
['母亲 母べえ', '8.6', '6332', '2008-01-26(日本)']
['编辑部的故事', '8.6', '18575', '1992']
['内布拉斯加 Nebraska', '8.6', '31039', '2013-05-23(戛纳电影节)']
['寻 第一季 Looking Season 1', '8.6', '8643', '2014-01-19(美国)']
['寂寞芳心 Issız Adam', '8.6', '13149', '2008-11-07']
['想飞的钢琴少年 Vitus', '8.6', '24308', '2010-05-28(中国大陆)']
['面包和汤和猫咪好天气 パンとスープとネコ日和', '8.6', '26780', '2013-07-21(日本)']
['史崔特先生的故事 The Straight Story', '8.6', '10895', '1999-05-21(戛纳电影节)']
["不一样的天空 What's Eating Gilbert Grape", '8.6', '77614', '1993-12-17(美国)']
['老爷车 Gran Torino', '8.6', '45062', '2009-01-09(美国)']
['比海更深 海よりもまだ深く', '8.6', '39147', '2016-05-18(戛纳国际电影节)']
['蝴蝶 Le Papillon', '8.6', '90558', '2002-12-18(法国)']
['时空恋旅人 About Time', '8.6', '178001', '2013-09-04(英国)']
['海街日记 海街diary', '8.6', '102989', '2015-05-14(戛纳电影节)']
['海边的曼彻斯特 Manchester by the Sea', '8.6', '106586', '2017-07(中国大陆)']
['小城之春', '8.6', '19434', '1948-09(中国大陆)']
['č\x8dźč\x98ź', '8.6', '13089', '2016-10-07(ĺ\x8f°ćšž)']
['ć\x9a\x97ć\x81\x8bćĄ\x83č\x8aąćş\x90 ć\x9a\x97ć\x88\x80ćĄ\x83č\x8aąćş\x90', '8.5', '28394', '1992']
['编舟记 舟を編む', '8.5', '37520', '2013-04-13(日本)']
['麻将', '8.5', '19691', '1996-12-07']
['走出非洲 Out of Africa', '8.5', '51010', '1985-12-10']
['土拨鼠之日 Groundhog Day', '8.5', '57989', '1993-02-12(美国)']
['音乐永不停歇 The Music Never Stopped', '8.5', '8185', '2011-01-20(圣丹斯电影节)']
['马路天使', '8.5', '10702', '1937']
['猜火车 Trainspotting', '8.5', '233435', '1996-02-23(英国)']
['爱 Amour', '8.5', '46339', '2012-05-20(戛纳电影节)']
['安妮·霍尔 Annie Hall', '8.5', '41441', '1977-04-20']
['狗脸的岁月 Mitt liv som hund', '8.5', '10589', '1985-12-12']
['关于我母亲的一切 Todo sobre mi madre', '8.5', '33083', '1999-04-08(西班牙首映)']
['朝圣之路 The Way', '8.5', '19089', '2010-11-19(西班牙)']
['天水围的日与夜 天水圍的日與夜', '8.5', '68291', '2008-07-17']
['昨天', '8.5', '19316', '2001-09-04(威尼斯电影节)']
['ç\x9c\x9fç\x88ąč\x87łä¸\x8a Love Actually', '8.5', '293400', '2003-09-07(ĺ¤\x9aäźŚĺ¤\x9aç\x94ľĺ˝ąč\x8a\x82)']
['岁月的童话 おもひでぽろぽろ', '8.5', '66558', '1991-07-20(日本)']
['时时刻刻 The Hours', '8.5', '79183', '2002-12-27(美国)']
['远山的呼唤 遥かなる山の呼び声', '8.5', '5317', '1980-03-15(日本)']
['哪啊哪啊神去村 WOOD JOB！神去なあなあ日常', '8.5', '77362', '2014-05-10(日本)']
['再次出发之纽约遇见你 Begin Again', '8.5', '150308', '2015-06-26(中国大陆)']
['麦兜故事 麥兜故事', '8.5', '119094', '2001-12-15']
['遗愿清单 The Bucket List', '8.5', '114891', '2007-12-25(多伦多电影节)']
['莫斯科不相信眼泪 Москва слезам не верит', '8.5', '8070', '1980-02-11(苏联)']
['11度青春之《老男孩》', '8.5', '204760', '2010-10-28']
['余生的第一天 Le premier jour du reste de ta vie', '8.5', '11915', '2008-07-23(法国)']
['小小食杂铺 おかしの家', '8.5', '10094', '2015-10-21(日本)']
['转转 転々', '8.5', '11720', '2007-11-10(日本)']
['迫在眉梢 John Q', '8.5', '28533', '2002-02-15(美国)']
['克莱默夫妇 Kramer vs. Kramer', '8.5', '36998', '1979-12-19(美国)']
['过年', '8.5', '11393', '1991-02-12']
['阿郎的故事', '8.5', '56605', '1989-03-16(香港)']
